Statistics Type,Period,Years,Month,Quarters,Consumption Domain Code,Consumption Domain,Source Domain Code,Source Domain,Cancellation type,Total
EECS-Electricity,2019-01,2019,Jan,Qtr1,AT,AT - Austria,AT,AT - Austria,AIB Member own country,1108954
EECS-Electricity,2019-01,2019,Jan,Qtr1,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,1579
EECS-Electricity,2019-01,2019,Jan,Qtr1,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1513713
EECS-Electricity,2019-01,2019,Jan,Qtr1,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,352841
EECS-Electricity,2019-01,2019,Jan,Qtr1,BG,BG - Bulgaria,CZ,CZ - Czech Republic,EU/EEA/EC non AIB Member,354
EECS-Electricity,2019-01,2019,Jan,Qtr1,BG,BG - Bulgaria,NO,NO - Norway,EU/EEA/EC non AIB Member,8741
EECS-Electricity,2019-01,2019,Jan,Qtr1,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,492426
EECS-Electricity,2019-01,2019,Jan,Qtr1,CY,CY - Cyprus,DK,DK - Denmark,Other AIB member,345
EECS-Electricity,2019-01,2019,Jan,Qtr1,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,123731
EECS-Electricity,2019-01,2019,Jan,Qtr1,DE,DE - Germany,DE,DE - Germany,AIB Member own country,25411459
EECS-Electricity,2019-01,2019,Jan,Qtr1,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,1506708
EECS-Electricity,2019-01,2019,Jan,Qtr1,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,5662
EECS-Electricity,2019-01,2019,Jan,Qtr1,ES,ES - Spain,ES,ES - Spain,AIB Member own country,9144071
EECS-Electricity,2019-01,2019,Jan,Qtr1,FI,FI - Finland,FI,FI - Finland,AIB Member own country,2616865
EECS-Electricity,2019-01,2019,Jan,Qtr1,FR,FR - France,FR,FR - France,AIB Member own country,6542925
EECS-Electricity,2019-01,2019,Jan,Qtr1,GB,GB - United Kingdom,NL,NL - Netherlands,Other,80172
EECS-Electricity,2019-01,2019,Jan,Qtr1,GB,GB - United Kingdom,NO,NO - Norway,Other,465589
EECS-Electricity,2019-01,2019,Jan,Qtr1,GR,GR - Greece,NO,NO - Norway,Other AIB member,13308
EECS-Electricity,2019-01,2019,Jan,Qtr1,HU,HU - Hungary,CZ,CZ - Czech Republic,Other AIB member,53564
EECS-Electricity,2019-01,2019,Jan,Qtr1,HU,HU - Hungary,NO,NO - Norway,Other AIB member,13849
EECS-Electricity,2019-01,2019,Jan,Qtr1,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,601900
EECS-Electricity,2019-01,2019,Jan,Qtr1,IS,IS - Iceland,IS,IS - Iceland,AIB Member own country,223716
EECS-Electricity,2019-01,2019,Jan,Qtr1,IT,IT - Italy,IT,IT - Italy,AIB Member own country,4792351
EECS-Electricity,2019-01,2019,Jan,Qtr1,LI,LI - Liechtenstein,CH,CH - Switzerland,EU/EEA/EC non AIB Member,1
EECS-Electricity,2019-01,2019,Jan,Qtr1,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,7500
EECS-Electricity,2019-01,2019,Jan,Qtr1,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,335125
EECS-Electricity,2019-01,2019,Jan,Qtr1,LV,LV - Latvia,NO,NO - Norway,Other AIB member,3120
EECS-Electricity,2019-01,2019,Jan,Qtr1,MT,MT - Malta,NO,NO - Norway,EU/EEA/EC non AIB Member,1
EECS-Electricity,2019-01,2019,Jan,Qtr1,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,7141579
EECS-Electricity,2019-01,2019,Jan,Qtr1,NO,NO - Norway,NO,NO - Norway,AIB Member own country,3560779
EECS-Electricity,2019-01,2019,Jan,Qtr1,PL,PL - Poland,NO,NO - Norway,EU/EEA/EC non AIB Member,148168
EECS-Electricity,2019-01,2019,Jan,Qtr1,PT,PT - Portugal,FI,FI - Finland,Other AIB member,2755
EECS-Electricity,2019-01,2019,Jan,Qtr1,PT,PT - Portugal,NO,NO - Norway,Other AIB member,12197
EECS-Electricity,2019-01,2019,Jan,Qtr1,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,39046
EECS-Electricity,2019-01,2019,Jan,Qtr1,RS,RS - Serbia,NO,NO - Norway,Other AIB member,28223
EECS-Electricity,2019-01,2019,Jan,Qtr1,RU,RU - Russian Federation,FI,FI - Finland,Other,5062
EECS-Electricity,2019-01,2019,Jan,Qtr1,RU,RU - Russian Federation,NO,NO - Norway,Other,47924
EECS-Electricity,2019-01,2019,Jan,Qtr1,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,11904596
EECS-Electricity,2019-01,2019,Jan,Qtr1,SI,SI - Slovenia,SI,SI - Slovenia,AIB Member own country,2098
EECS-Electricity,2019-01,2019,Jan,Qtr1,SK,SK - Slovakia,CZ,CZ - Czech Republic,Other AIB member,9200
EECS-Electricity,2019-01,2019,Jan,Qtr1,SK,SK - Slovakia,NO,NO - Norway,Other AIB member,11395
EECS-Electricity,2019-02,2019,Feb,Qtr1,AT,AT - Austria,AT,AT - Austria,AIB Member own country,1808676
EECS-Electricity,2019-02,2019,Feb,Qtr1,BE,BE - Belgium,FR,FR - France,Other AIB member,1
EECS-Electricity,2019-02,2019,Feb,Qtr1,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1681435
