geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Austria,16465136,58671555,58984823,22573584,17387018,21826108,18497232,15739673,18242139,9433964,9895907,8361540,1948056,324932,2851824,4602618,3122146,6129706,918704,84669,0
Belgium,7103636,23587820,24450574,21328382,20113429,9553740,5976247,19032923,25919468,34477754,29778396,40055486,25162602,14360402,3998332,647349,450730,50000,7000,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,8168908,57133801,54732368,56985074,47872362,50138132,54092381,53014955,29818873,18843013,1679257,500279,1706395,697087,162986,215399,495653,102924,35530,4100,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,1464893,1381485,603620,874161,1343365,1484238,1096864,778105,3907,0,0,0,0,0,0,0,0,0,0,0,0
Germany,63635960,110455942,104136088,99389560,91739136,84018233,87586229,80439277,49933678,43050359,29799910,21420979,17078933,8150988,5289723,616653,25036,48647,0,0,0
Denmark,5964452,12358434,9110217,9288208,6590533,8187816,14228931,8330499,3998285,2760388,1810761,921875,656721,291502,192062,564,0,0,24614,0,0
Estonia,328021,1543332,300446,943748,2184793,903607,246884,100133,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,76487679,175672790,153217148,69860115,74757786,0,0,0,0,916599,1108593,822027,1090857,0,1719744,571403,174334,93400,46631,0,0
Finland,14291921,25876191,25640433,24302120,20884867,21244834,20828643,25429302,17025211,14704892,10161513,5612628,3000576,1421081,682821,1112145,2254194,1412330,4192610,1527025,1
France,34019460,49051286,41623004,32947033,22079430,15954355,9523599,7917189,10575993,18807187,7087333,6225743,5421017,3630351,10356326,610996,461004,214878,86757,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,1543957,2876586,1623600,1161039,961670,116072,22574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,6782760,10134483,6872692,2340616,2287547,3080981,391425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,3637740,3617827,3879143,3602419,2583179,1100026,7961,70228,252765,0,0,0,0,0,0,0,0,0,0,0,0
Italy,18840737,52358384,47526091,45885415,40626542,38796750,34714944,31614057,3202298,12815302,18591512,7670751,5678056,3759063,928675,573660,241048,76873,10557,1125,0
Lithuania,578185,1262279,953604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,3296572,3460645,3107848,2986673,3018938,3393366,4022668,3317580,2820272,936133,514365,186859,0,0,0,0,0,0,0,0,0
Latvia,194314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,32437852,97581825,57850860,53509538,49363455,48030514,42702110,37941424,39956079,34920702,33478114,27450124,25371718,21528965,16619566,14310399,14571822,7552082,107962,1103,0
Norway,27264140,80898757,67485682,48493370,39280356,32670060,32435315,29917140,24747403,22312385,35675568,28514371,28763116,28062028,12636718,2711968,1101274,827342,725706,2458761,0
Portugal,1481529,454276,0,0,0,0,205659,181287,31676,23888,24488,8894,5906,0,5250,0,0,0,0,0,0
Serbia,137417,263342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,29405114,57384820,65167964,47263697,43010681,29924796,23077154,20885508,24529141,22380228,66083942,55512661,53144161,28749478,19732466,9749209,88602,59596,2106088,1125050,0
Slovenia,858638,836521,827395,0,0,0,0,0,0,0,0,35652,35681,31570,31653,23462,1769182,0,0,0,0
Slovakia,1432822,909308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,355821843,827771689,728093600,543734752,486085087,370423628,349656820,334709280,251057188,236382794,245689659,203299869,169063795,111007447,75208146,35745825,24755025,16567778,8262159,5201833,1
