Tech,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Wind - onshore,69230254,160887866,128393922,70844112,55394645,13758533,11573509,13261170,9218186,8747408,8438416,7784495,6358190,5072845,3979099,2243281,1947351,804795,153738,46465,1
Wind - offshore,8269445,15084575,12904152,8493843,10591121,5999895,3071641,2930172,1385150,1308053,716651,701046,494678,253908,76266,0,2995,12345,186,0,0
Wind - unknown,9946469,23045169,18545370,29772304,22753913,18156543,20413510,11197695,5212874,2741906,1967328,60000,0,0,0,0,0,0,0,0,0
Wind,87446168,199017610,159843444,109110259,88739679,37914971,35058660,27389037,15816210,12797367,11122395,8545541,6852868,5326753,4055365,2243281,1950346,817140,153924,46465,1
Hydro/marine,200685512,418386416,410465392,337873344,325454675,282049137,270716115,259230389,210166135,208309164,197130357,161427388,133080482,100476654,66097305,27959779,16185307,7995473,1759895,2937251,0
Unspecified mechanical/other,0,0,0,6561,128025,572,30679,2100,121,0,2946000,2868212,0,0,0,0,0,0,0,0,0
Unspecified renewable energy,2793238,9036964,11309616,2329570,1704592,1066843,1337760,715415,102905,121056,0,0,0,0,0,0,0,0,0,0,0
Unspecified heat,7374,29456,39312,8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,19240890,42564976,37332661,20638945,22537561,5157597,1354250,691427,304248,168195,133094,35990,12802,4696,3730,3095,2895,18,0,0,0
Geothermal,5059892,11962017,10781007,6207247,3795537,5718797,3970898,4638836,3135657,3139066,1581519,63742,205848,409912,106919,0,36081,55175,10517,1125,0
Other,27101394,63593413,59462596,29190482,28165715,11943809,6693587,6047778,3542931,3428317,4660613,2967944,218650,414608,110649,3095,38976,55193,10517,1125,0
Solid - agricultural biomass (inc. energy crops),1393108,4700531,5751621,4238898,2262636,1597771,3095228,2778958,1113601,380265,485131,145768,99723,65540,13721,2778,70643,56457,52078,14522,0
Solid - agricultural products,170711,393228,536664,330581,184648,132881,258099,133907,36423,64282,607,3229,4837,0,0,0,0,0,0,0,0
