Fuel,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Wind - onshore,20192026,147157801,120687965,78112943,59676901,53021131,10418693,7349626,10162377,5332273,7098212,8563500,9536533,8045569,5529437,4156102,3264832,2131832,309332,166708,24427
Wind - offshore,4157431,18964555,15048373,9363348,6477724,4559163,3296914,788588,770473,788487,832525,687031,810076,607037,340711,68202,1542,19442,4,2008,1256
Wind - unknown,642512,20031893,19807107,29851088,41144373,30953270,26781645,18627482,13302674,10159279,7589829,3204334,0,0,21722,0,0,0,0,0,0
Wind,24991969,186154249,155543445,117327379,107298998,88533564,40497252,26765696,24235524,16280039,15520566,12454865,10346609,8652606,5891870,4224304,3266374,2151274,309336,168716,25683
Hydro/marine,87637342,453842232,407067089,399867353,341128248,349967236,292287435,255869712,272719256,243337238,169577285,173999939,171473962,168339409,134063838,54133365,38080648,19947178,11914062,7325326,603392
Unspecified mechanical/other,0,0,0,0,0,1410,9884,5538,6294,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified renewable energy,78002,1943481,2301618,2988110,2842771,2207703,4080465,946215,1109454,0,0,0,0,0,238,0,0,0,0,0,0
Unspecified heat,7443,30921,29235,33548,0,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,862457,42567660,32644699,25633955,25720521,21488303,1851038,1209122,942622,604425,293875,136523,28588,10973,5073,5168,4686,2090,13,0,0
Geothermal,977002,11175616,11270090,10769245,5231356,5154490,5137639,4352029,6239285,1693287,3760667,600349,676539,523769,135130,0,35627,53431,6434,166024,0
Other,1924904,55717678,46245642,39424858,33794648,28859807,11079026,6512904,8297655,2297712,4054542,736872,705127,534742,140441,5168,40313,55521,6447,166024,0
Solid - agricultural biomass (inc. energy crops),1178313,4494175,5385343,4339720,3488065,2628053,2009037,2048557,2129698,705855,497014,273742,310828,844050,50605,5741,68909,59023,66513,36033,43986
Solid - agricultural products,149896,481526,464240,461293,389508,278684,229432,237365,117263,127705,157476,0,0,0,0,0,0,0,0,0,0
Solid - renewable fuels (inc. For&Ag bp & w),341993,8706589,7248353,5690156,5545672,5245185,2590165,2344926,2698569,1485432,2142304,5673151,4412417,3528265,2565787,4004381,3435969,7767140,7945838,6850232,661360
Solid - forestry products,930445,2961830,4913171,3650002,3305543,3432785,3611850,2021148,2620065,1630368,438216,0,0,0,0,0,0,0,0,0,0
Solid - forestry by-products & waste,1644609,6831378,3206479,2782075,2905992,2508491,1979921,1960203,1887024,2623036,3110451,88609,0,0,30645,0,0,0,0,0,0
Gas - landfill,61927,238905,215691,201316,150053,204771,261715,281219,322235,165958,435068,1027490,416202,394186,360753,354183,242856,105368,3890,19121,0
Gas - sewage,26852,191622,182668,155163,141171,143093,125959,93862,71402,56811,595,66,0,0,0,966,3646,6364,1075,24154,0
Gas - other biogas,701657,12086574,11536426,10569802,9782247,8742431,1448247,1856950,1686269,1241332,735092,742470,711501,438876,307143,141717,26405,9112,630,0,0
