geo,AIB_cat,AIB_sub_cat,2021,2020,2019,2018,2017,2016
Austria, Renewable ,Unspecified&other,11561,241,0,0,0,0
Austria, Renewable ,Biomass,71641,137980,189607,0,0,0
Austria, Renewable ,Solar,34658,21339,36728,320,0,0
Austria, Renewable ,Geothermal,4,10,1,0,0,0
Austria, Renewable ,Wind,96843,132052,54647,0,0,0
Austria, Renewable ,Hydro,848194,1128913,503331,22937,0,0
Austria, Nuclear , Nuclear ,,,14719,0,0,0
Austria, Fossil ,Unspecified&other,299851,80640,93218,0,0,0
Austria, Fossil ,Hardcoal,1795397,1228763,592905,0,0,0
Austria, Fossil ,Lignite(orbrowncoal),,,,0,0,0
Austria, Fossil ,Oil,634,495,147914,0,0,0
Austria, Fossil ,NaturalGas,3085779,1309886,806279,0,0,0
Austria, TOTAL , TOTAL ,6244562,4040319,2439349,23257,0,0
Belgium, Renewable ,Unspecified&other,457,2391,1,103238,2300,0
Belgium, Renewable ,Biomass,186270,249362,232872,2097733,159447,107704
Belgium, Renewable ,Solar,508547,474799,509839,950341,425012,417718
Belgium, Renewable ,Geothermal,0,0,72584,0,1357,49
Belgium, Renewable ,Wind,138927,415019,150722,3241376,361258,178803
Belgium, Renewable ,Hydro,102796,181062,521772,8079857,457793,344020
Belgium, Nuclear , Nuclear ,0,,0,0,0,0
Belgium, Fossil ,Unspecified&other,,,,0,0,0
Belgium, Fossil ,Hardcoal,,0,,0,0,0
Belgium, Fossil ,Lignite(orbrowncoal),,,,0,0,0
Belgium, Fossil ,Oil,0,0,0,0,0,0
Belgium, Fossil ,NaturalGas,344139,56341,124674,14453,0,0
Belgium, TOTAL , TOTAL ,1281136,1378974,1612464,14486998,1407167,1048294
Switzerland, Renewable ,Unspecified&other,265,0,0,0,6251,24555
Switzerland, Renewable ,Biomass,191393,169648,121322,121898,102039,178312
Switzerland, Renewable ,Solar,253110,220222,206865,198766,188158,169430
Switzerland, Renewable ,Geothermal,,0,40,0,0,0
Switzerland, Renewable ,Wind,2494,14841,11068,16878,21009,34320
Switzerland, Renewable ,Hydro,3206708,3982611,1920921,888683,3727575,7116803
Switzerland, Nuclear , Nuclear ,10598596,14141694,11843287,4580630,5851166,4044082
Switzerland, Fossil ,Unspecified&other,631874,982930,539333,640825,495515,359878
Switzerland, Fossil ,Hardcoal,0,0,,0,0,0
Switzerland, Fossil ,Lignite(orbrowncoal),,,,0,0,0
Switzerland, Fossil ,Oil,,,,0,0,0
Switzerland, Fossil ,NaturalGas,7280,135722,65568,127348,300609,118924
Switzerland, TOTAL , TOTAL ,14891720,19647668,14708404,6575028,10692322,12046304
Cyprus, Renewable ,Unspecified&other,,,,0,0,0
Cyprus, Renewable ,Biomass,,,,0,0,0
Cyprus, Renewable ,Solar,0,,,0,0,0
Cyprus, Renewable ,Geothermal,,,,0,0,0
Cyprus, Renewable ,Wind,238349,236496,218977,211106,224564,0
Cyprus, Renewable ,Hydro,,,,0,0,0
