COUNTRY,Country,PRODUCT,Product,TIME,Time,Value,Flag Codes,Flags
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2001,2001,13622,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2002,2002,13637,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2003,2003,13663,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2004,2004,13687,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2005,2005,13738,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2006,2006,13765,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2007,2007,13881,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2008,2008,13903,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2009,2009,13990,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2010,2010,14280,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2011,2011,14420,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2012,2012,14720,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2013,2013,15063,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2014,2014,15291,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2015,2015,15720,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2016,2016,16997,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2017,2017,17786.604,,
CHE,Switzerland,TOTALCAP,Total Capacity (MWe),2018,2018,18239.938,,
CHE,Switzerland,HYDRO,Hydro,2001,2001,13283,,
CHE,Switzerland,HYDRO,Hydro,2002,2002,13295,,
CHE,Switzerland,HYDRO,Hydro,2003,2003,13310,,
CHE,Switzerland,HYDRO,Hydro,2004,2004,13317,,
CHE,Switzerland,HYDRO,Hydro,2005,2005,13356,,
CHE,Switzerland,HYDRO,Hydro,2006,2006,13356,,
CHE,Switzerland,HYDRO,Hydro,2007,2007,13464,,
CHE,Switzerland,HYDRO,Hydro,2008,2008,13476,,
CHE,Switzerland,HYDRO,Hydro,2009,2009,13522,,
CHE,Switzerland,HYDRO,Hydro,2010,2010,13723,,
CHE,Switzerland,HYDRO,Hydro,2011,2011,13770,,
CHE,Switzerland,HYDRO,Hydro,2012,2012,13803,,
CHE,Switzerland,HYDRO,Hydro,2013,2013,13816,,
CHE,Switzerland,HYDRO,Hydro,2014,2014,13744,,
CHE,Switzerland,HYDRO,Hydro,2015,2015,13815,,
CHE,Switzerland,HYDRO,Hydro,2016,2016,14806,,
CHE,Switzerland,HYDRO,Hydro,2017,2017,15353.4,,
CHE,Switzerland,HYDRO,Hydro,2018,2018,15541.46,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2001,2001,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2002,2002,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2003,2003,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2004,2004,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2005,2005,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2006,2006,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2007,2007,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2008,2008,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2009,2009,316,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2010,2010,456,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2011,2011,456,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2012,2012,456,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2013,2013,456,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2014,2014,456,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2015,2015,469,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2016,2016,527,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2017,2017,527,,
CHE,Switzerland,HYDPUMP,Pure Pumped Hydro,2018,2018,562,,
CHE,Switzerland,GEOTHERM,Geothermal,2001,2001,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2002,2002,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2003,2003,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2004,2004,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2005,2005,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2006,2006,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2007,2007,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2008,2008,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2009,2009,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2010,2010,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2011,2011,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2012,2012,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2013,2013,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2014,2014,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2015,2015,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2016,2016,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2017,2017,0,,
CHE,Switzerland,GEOTHERM,Geothermal,2018,2018,0,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2001,2001,18,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2002,2002,20,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2003,2003,22,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2004,2004,24,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2005,2005,28,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2006,2006,30,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2007,2007,37,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2008,2008,49,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2009,2009,79,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2010,2010,125,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2011,2011,223,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2012,2012,437,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2013,2013,756,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2014,2014,1061,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2015,2015,1394,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2016,2016,1664,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2017,2017,1905.8,,
CHE,Switzerland,SOLARPV,Solar Photovoltaics,2018,2018,2170.968,,
CHE,Switzerland,SOLARTH,Solar Thermal,2001,2001,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2002,2002,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2003,2003,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2004,2004,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2005,2005,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2006,2006,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2007,2007,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2008,2008,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2009,2009,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2010,2010,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2011,2011,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2012,2012,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2013,2013,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2014,2014,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2015,2015,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2016,2016,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2017,2017,0,,
CHE,Switzerland,SOLARTH,Solar Thermal,2018,2018,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2001,2001,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2002,2002,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2003,2003,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2004,2004,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2005,2005,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2006,2006,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2007,2007,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2008,2008,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2009,2009,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2010,2010,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2011,2011,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2012,2012,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2013,2013,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2014,2014,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2015,2015,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2016,2016,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2017,2017,0,,
CHE,Switzerland,TIDE,Tide/Wave/Ocean,2018,2018,0,,
CHE,Switzerland,WIND,Wind,2001,2001,5,,
CHE,Switzerland,WIND,Wind,2002,2002,5,,
CHE,Switzerland,WIND,Wind,2003,2003,5,,
CHE,Switzerland,WIND,Wind,2004,2004,9,,
CHE,Switzerland,WIND,Wind,2005,2005,12,,
CHE,Switzerland,WIND,Wind,2006,2006,12,,
CHE,Switzerland,WIND,Wind,2007,2007,12,,
CHE,Switzerland,WIND,Wind,2008,2008,14,,
CHE,Switzerland,WIND,Wind,2009,2009,18,,
CHE,Switzerland,WIND,Wind,2010,2010,42,,
CHE,Switzerland,WIND,Wind,2011,2011,46,,
CHE,Switzerland,WIND,Wind,2012,2012,49,,
CHE,Switzerland,WIND,Wind,2013,2013,60,,
CHE,Switzerland,WIND,Wind,2014,2014,60,,
CHE,Switzerland,WIND,Wind,2015,2015,60,,
CHE,Switzerland,WIND,Wind,2016,2016,75,,
CHE,Switzerland,WIND,Wind,2017,2017,75.2,,
CHE,Switzerland,WIND,Wind,2018,2018,75.2,,
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2001,2001,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2002,2002,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2003,2003,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2004,2004,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2005,2005,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2006,2006,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2007,2007,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2008,2008,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2009,2009,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2010,2010,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2011,2011,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2012,2012,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2013,2013,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2014,2014,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2015,2015,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2016,2016,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2017,2017,,L,Missing value; data exist but were not collected
CHE,Switzerland,INDWASTE,Industrial Wastes (Non-Renewable),2018,2018,,L,Missing value; data exist but were not collected
CHE,Switzerland,MUNWASTE,Municipal Wastes,2001,2001,284,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2002,2002,284,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2003,2003,293,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2004,2004,305,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2005,2005,308,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2006,2006,335,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2007,2007,336,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2008,2008,332,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2009,2009,339,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2010,2010,358,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2011,2011,349,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2012,2012,398,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2013,2013,398,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2014,2014,394,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2015,2015,422,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2016,2016,423,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2017,2017,422.5,,
CHE,Switzerland,MUNWASTE,Municipal Wastes,2018,2018,422.5,,
CHE,Switzerland,SBIOMASS,Solid Biofuels,2001,2001,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2002,2002,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2003,2003,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2004,2004,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2005,2005,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2006,2006,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2007,2007,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2008,2008,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2009,2009,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2010,2010,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2011,2011,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2012,2012,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2013,2013,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2014,2014,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2015,2015,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2016,2016,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2017,2017,,L,Missing value; data exist but were not collected
CHE,Switzerland,SBIOMASS,Solid Biofuels,2018,2018,,L,Missing value; data exist but were not collected
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2001,2001,475,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2001,2001,333,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2002,2002,502,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2002,2002,351,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2003,2003,526,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2003,2003,368,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2004,2004,551,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2004,2004,386,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2005,2005,582,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2005,2005,407,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2006,2006,620,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2006,2006,434,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2007,2007,671,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2007,2007,470,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2008,2008,752,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2008,2008,526,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2009,2009,872,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2009,2009,610,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2010,2010,1008,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2010,2010,706,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2011,2011,1138,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2011,2011,797,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2012,2012,1265,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2012,2012,886,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2013,2013,1385,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2013,2013,970,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2014,2014,1485,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2014,2014,1040,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2015,2015,1566,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2015,2015,1096,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2016,2016,1620,,
CHE,Switzerland,SOLARTHSQ,Cap. of Solar Collector Surface (MWth),2016,2016,1134,,
CHE,Switzerland,SOLARSUR,Solar Collector Surface (1000 m2),2017,2017,1658.46,,
CHE,Switzerland,BIOGASES,Biogases,2001,2001,32,,
CHE,Switzerland,BIOGASES,Biogases,2002,2002,33,,
CHE,Switzerland,BIOGASES,Biogases,2003,2003,33,,
CHE,Switzerland,BIOGASES,Biogases,2004,2004,32,,
CHE,Switzerland,BIOGASES,Biogases,2005,2005,34,,
CHE,Switzerland,BIOGASES,Biogases,2006,2006,32,,
CHE,Switzerland,BIOGASES,Biogases,2007,2007,32,,
CHE,Switzerland,BIOGASES,Biogases,2008,2008,32,,
CHE,Switzerland,BIOGASES,Biogases,2009,2009,32,,
CHE,Switzerland,BIOGASES,Biogases,2010,2010,32,,
CHE,Switzerland,BIOGASES,Biogases,2011,2011,32,,
CHE,Switzerland,BIOGASES,Biogases,2012,2012,33,,
CHE,Switzerland,BIOGASES,Biogases,2013,2013,33,,
CHE,Switzerland,BIOGASES,Biogases,2014,2014,32,,
CHE,Switzerland,BIOGASES,Biogases,2015,2015,29,,
CHE,Switzerland,BIOGASES,Biogases,2016,2016,29,,
CHE,Switzerland,BIOGASES,Biogases,2017,2017,29.704,,
CHE,Switzerland,BIOGASES,Biogases,2018,2018,29.81,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2001,2001,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2002,2002,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2003,2003,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2004,2004,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2005,2005,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2006,2006,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2007,2007,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2008,2008,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2009,2009,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2010,2010,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2011,2011,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2012,2012,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2013,2013,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2014,2014,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2015,2015,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2016,2016,0,,
CHE,Switzerland,OBIOLIQ,Other Liquid Biofuels,2017,2017,0,,
