COUNTRY_NAME,COUNTRY
Australia ,AUSTRALI 
Austria ,AUSTRIA 
Belgium ,BELGIUM 
Brazil ,BRAZIL 
Canada ,CANADA 
Czech Republic ,CZECH 
Denmark ,DENMARK 
Estonia ,ESTONIA 
Finland ,FINLAND 
France ,FRANCE 
Germany ,GERMANY 
Greece ,GREECE 
Hungary ,HUNGARY 
Ireland ,IRELAND 
Italy ,ITALY 
Japan ,JAPAN 
Korea ,KOREA 
Lithuania ,LITHUANIA 
Luxembourg ,LUXEMBOU 
Mexico ,MEXICO 
Netherlands ,NETHLAND 
New Zealand ,NZ 
Norway ,NORWAY 
Poland ,POLAND 
Portugal ,PORTUGAL 
Slovak Republic ,SLOVAKIA 
Spain ,SPAIN 
Sweden ,SWEDEN 
Switzerland ,SWITLAND 
Turkey ,TURKEY 
United Kingdom ,UK 
United States ,USA 
European Union ,EU 
