FLOW_name,FLOW
GROUP 1: ENERGY EFFICIENCY ,EFFICIENCY
11 Industry ,11EFFIND
111 Industrial techniques and processes ,111INDTE
112 Industrial equipment and systems ,112INDEQ
113 Other industry ,113INDOT
119 Unallocated industry ,119INDUN
"12 Residential and commercial buildings, appliances and equipment ",12EFFRCO
121 Building design and envelope ,121BUDEE
1211 Building envelope technologies ,1211ENVE
1212 Building design ,1212DESI
1219 Unallocated building design and envelope ,1219BUUN
122 Building operation and efficient building equipment ,122OPERA
1221 Building management systems (including smart meters) and efficient internet and communication technologies ,1221EMAN
1222 Lighting technologies and control systems ,1222LTEC
"1223 Heating, cooling and ventilation technologies ",1223HEAT
1224 Other building operations and efficient building equipment ,1224OTHE
1229 Unallocated building operations and equipment ,1229OPUN
123 Appliances and other residential/commercial ,123APPLI
1231 Appliances ,1231APPL
1232 Batteries for portable devices ,1232BATT
1233 Other residential/commercial ,1233ORCO
1239 Unallocated appliances and other residential/commercial ,1239APUN
"129 Unallocated residential/commercial buildings, appliances and equipment ",129EFFRUN
13 Transport ,13TRANSP
131 On-road vehicles ,131ORVEH
1311 Vehicle batteries/storage technologies ,1311VBAT
"1312 Advanced power electronics, motors, EV/HEV/FCV systems ",1312ADVA
1313 Advanced combustion engines ,1313ENGI
1314 Electric vehicle infrastructure (including smart chargers and grid communications) ,1314INFR
1315 Fuel for on-road vehicles (excluding hydrogen) ,1315UFUE
1316 Materials for on-road vehicles ,1316MATE
1317 Other on-road transport ,1317OTHE
1319 Unallocated on-road vehicles ,1319ORUN
132 Off-road transport and transport systems ,132OFFRO
133 Other transport ,133OTRAN
139 Unallocated transport ,139TRANUN
14 Other energy efficiency ,14OEFFIC
141 Waste heat recovery and utilisation ,141WASTE
142 Communities ,142COMMU
143 Agriculture and forestry ,143AGRIF
144 Heat pumps and chillers ,144HEATP
145 Other energy efficiency ,145OENEF
149 Unallocated other energy efficiency ,149OEFUN
19 Unallocated energy efficiency ,19EFFUN
"GROUP 2: FOSSIL FUELS: OIL, GAS and COAL ",FOSSILFUEL
21 Oil and gas ,21OILGAS
211 Enhanced oil and gas production ,211ENHAN
"212 Refining, transport, storage of oil and gas ",212REFIN
