Statistics type,Period,Years,Quarters,Month,Domain,Level 1,Level 2,Production - Issue,Production - Cancel,Production - Expire,Transaction - Issue,Transaction - Transfer,Transaction - Export,Transaction - Import,Transaction - Expire,Transaction - Cancel Own Domain,Transaction - Cancel Ex-domain
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Gas - landfill,704,672,0,841,0,0,0,0,205,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Gas - other biogas,49615,91380,0,46557,29047,1582,17845,0,10795,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Gas - sewage,502,460,0,376,5,0,0,0,97,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Liquid - black liquor,774,95249,0,,,,,,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Liquid - renewable fuels (inc. Mun.waste),54,30171,0,5,0,6344,22653,0,1,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - agricultural biomass (inc. energy crops),0,21089,0,0,206716,428,427176,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - agricultural products,,,,0,0,0,16117,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - forestry by-products & waste,0,12294,0,0,8540,0,6435,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - forestry products,,,,0,3602,0,1801,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - industrial & commercial waste,0,4751,0,0,210732,66550,216076,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - municipal biogenic waste,17515,31156,0,7340,31996,0,110,0,1586,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - renewable fuels (inc. For&Ag bp & w),187530,188398,0,162258,10797,9790,9182,0,74971,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Biomass,Solid - unspecified wood,20,346,0,0,106606,0,54032,0,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Fossil,Gaseous - Natural gas,1458953,2296697,0,0,1252664,0,449000,0,772255,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Fossil,Gaseous - Unknown,0,20000,0,,,,,,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Fossil,Liquid - Petroleum products,49,27,0,,,,,,0,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,AT - Austria,Fossil,Solid - Hard coal,177773,76684,0,0,143581,0,0,0,0,0
