siec,tech
RA100,Hydro
RA110,Purehydropower
RA110ROR,Run-of-riverhydropower
RA120,Mixedhydropower
RA130,Pumpedhydropower
RA200,Geothermal
RA300,Wind
RA310,Windonshore
RA320,Windoffshore
RA400,Solar
RA410,Solarthermal
RA420,Solarphotovoltaic
RA420KW_LT20,Solarphotovoltaic(<20kW)
RA420KW20-1000,Solarphotovoltaic(20kW-1000kW)
RA420MW_GT1,Solarphotovoltaic(1+MW)
RA420OG,Solarphotovoltaic(Offgrid)
RA500,"Tide,wave,ocean"
R5100,Solidbiofuels
R5210P,Purebiogasoline
R5220P,Purebiodiesels
R5290,Otherliquidbiofuels
R5300,Biogases
W6000,Waste
W6100,Industrialwaste(non-renewable)
W6200,Municipalwaste
