Country/area,Technology,Indicator, 2 000, 2 001, 2 002, 2 003, 2 004, 2 005, 2 006, 2 007, 2 008, 2 009, 2 010, 2 011, 2 012, 2 013, 2 014, 2 015, 2 016, 2 017, 2 018, 2 019, 2 020, 2 021
Europe,Total renewable energy,Electricity capacity (MW), 190 703, 196 371, 203 555, 211 195, 221 041, 233 724, 244 590, 256 829, 272 945, 295 383, 321 941, 360 758, 395 036, 418 841, 439 808, 464 891, 488 495, 512 781, 537 416, 574 735, 608 346, 647 398
,Hydropower,Electricity capacity (MW), 193 216, 193 327, 193 953, 194 371, 196 421, 199 168, 199 547, 201 452, 202 786, 204 585, 206 027, 207 806, 209 203, 211 130, 211 880, 214 432, 217 891, 219 575, 220 613, 221 539, 222 656, 224 067
,Renewable hydropower,Electricity capacity (MW), 168 631, 168 606, 169 160, 169 915, 171 382, 173 400, 173 847, 175 527, 176 869, 177 821, 179 322, 181 110, 182 375, 183 397, 183 678, 186 049, 189 296, 191 108, 192 249, 193 176, 194 294, 195 725
,Pumped storage,Electricity capacity (MW), 24 585, 24 721, 24 793, 24 456, 25 039, 25 768, 25 700, 25 925, 25 917, 26 764, 26 705, 26 696, 26 827, 27 733, 28 202, 28 383, 28 595, 28 467, 28 363, 28 363, 28 362, 28 341
,Marine,Electricity capacity (MW),  214,  216,  219,  220,  219,  217,  216,  216,  219,  218,  222,  221,  228,  228,  231,  231,  237,  240,  244,  242,  241,  241
,Wind,Electricity capacity (MW), 12 731, 17 393, 23 288, 28 153, 34 320, 40 684, 47 919, 56 341, 64 055, 75 808, 84 920, 94 714, 107 196, 118 181, 130 209, 143 010, 155 763, 170 624, 181 904, 196 339, 207 878, 222 052
,Onshore wind energy,Electricity capacity (MW), 12 664, 17 317, 23 048, 27 644, 33 726, 40 000, 47 037, 55 259, 62 626, 73 686, 81 990, 91 173, 102 183, 111 497, 122 234, 132 014, 143 130, 154 822, 163 141, 174 282, 182 964, 194 237
,Offshore wind energy,Electricity capacity (MW),  67,  76,  240,  509,  594,  684,  882, 1 081, 1 430, 2 121, 2 931, 3 541, 5 013, 6 684, 7 976, 10 996, 12 633, 15 802, 18 763, 22 058, 24 915, 27 814
,Solar,Electricity capacity (MW),  200,  300,  385,  624, 1 335, 2 316, 3 278, 5 051, 10 519, 17 120, 30 858, 54 721, 73 723, 84 170, 91 092, 99 605, 106 171, 112 302, 121 620, 142 436, 162 835, 185 877
,Solar photovoltaic,Electricity capacity (MW),  200,  300,  385,  624, 1 335, 2 316, 3 267, 5 040, 10 458, 16 836, 30 119, 53 565, 71 716, 81 859, 88 780, 97 293, 103 859, 109 989, 119 308, 140 115, 160 514, 183 556
,Concentrated solar power,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  11,  11,  61,  284,  739, 1 156, 2 007, 2 311, 2 312, 2 312, 2 312, 2 312, 2 312, 2 321, 2 321, 2 321
,Bioenergy,Electricity capacity (MW), 8 152, 9 067, 9 619, 11 359, 12 924, 16 189, 18 212, 18 509, 20 008, 23 115, 25 284, 28 552, 30 066, 31 404, 33 095, 34 493, 35 520, 36 948, 39 781, 40 921, 41 470, 41 846
,Solid biofuels,Electricity capacity (MW), 6 834, 7 426, 7 815, 9 283, 10 056, 12 314, 13 791, 13 463, 14 397, 15 728, 16 734, 18 343, 18 530, 19 329, 20 466, 21 351, 21 969, 22 957, 25 097, 25 501, 25 551, 25 706
,Bagasse,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  2,  2,  1,  0,  0,  0,  0,  0,  0,  2,  2,  2,  2,  2,  2,  2
,Renewable municipal waste,Electricity capacity (MW), 1 425, 1 580, 1 683, 2 119, 2 312, 2 516, 2 836, 2 738, 2 919, 3 220, 3 372, 3 408, 3 492, 3 998, 3 947, 4 296, 4 576, 4 692, 4 851, 4 944, 5 081, 5 089
