Technology,AIB_tech,,,,,,,
Total renewable energy,Renewable,,,,,,,
Hydropower,Hydro&Marine,,,,,,,
Renewable hydropower,-,,,,,,,
Pumped storage,-,,,,,,,
Marine,Hydro&Marine,,,,,,,
Wind,Wind,,,,,,,
Onshore wind energy,-,,,,,,,
Offshore wind energy,-,,,,,,,
Solar,Solar,,,,,,,
Solar photovoltaic,-,,,,,,,
Concentrated solar power,-,,,,,,,
Bioenergy,Biomass,,,,,,,
Solid biofuels,-,,,,,,,
Bagasse,-,,,,,,,
Renewable municipal waste,-,,,,,,,
Other solid biofuels,-,,,,,,,
Liquid biofuels,-,,,,,,,
Biogas,-,,,,,,,
Geothermal,Geothermal,,,,,,,
