Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Europe,Total renewable energy,Electricity capacity (MW),190703.41,196370.90,203554.77,211194.99,221040.83,233724.19,244590.16,256828.70,272945.45,295382.63,321941.40,360758.13,395036.11,418841.11,439808.02,464890.66,488494.53,512780.56,537415.81,574735.44,608346.25,647398.41,
Europe,Hydropower,Electricity capacity (MW),193215.82,193326.83,193952.64,194370.64,196421.02,199168.40,199546.56,201452.15,202786.05,204585.03,206027.27,207806.22,209202.51,211130.22,211880.00,214432.07,217890.81,219574.66,220612.53,221539.31,222656.35,224066.66,
Europe,Renewable hydropower,Electricity capacity (MW),168630.87,168605.88,169159.69,169914.69,171382.07,173400.45,173846.61,175527.20,176869.10,177820.58,179321.82,181110.11,182375.40,183397.16,183677.94,186049.01,189295.71,191107.68,192249.05,193175.83,194293.91,195725.33,
Europe,Pumped storage,Electricity capacity (MW),24584.95,24720.95,24792.95,24455.95,25038.95,25767.95,25699.95,25924.95,25916.95,26764.45,26705.45,26696.11,26827.11,27733.06,28202.06,28383.06,28595.10,28466.98,28363.48,28363.48,28362.44,28341.34,
Europe,Marine,Electricity capacity (MW),214.00,215.50,218.50,219.50,218.50,216.50,215.50,215.50,218.50,218.22,221.85,220.93,227.52,227.68,231.02,230.50,236.60,240.19,244.23,241.71,241.12,241.12,
Europe,Wind,Electricity capacity (MW),12730.92,17392.93,23288.11,28152.95,34320.37,40684.29,47918.90,56340.81,64055.29,75807.54,84920.25,94714.23,107195.97,118180.90,130209.45,143010.16,155763.20,170624.37,181904.25,196339.26,207878.16,222051.50,
Europe,Onshore wind energy,Electricity capacity (MW),12664.17,17317.18,23048.36,27643.80,33726.02,39999.94,47036.55,55259.46,62625.54,73686.49,81989.65,91173.37,102182.87,111497.40,122233.60,132014.21,143130.05,154822.32,163140.85,174281.73,182963.51,194237.35,
Europe,Offshore wind energy,Electricity capacity (MW),66.75,75.75,239.75,509.15,594.35,684.35,882.35,1081.35,1429.75,2121.05,2930.60,3540.86,5013.10,6683.50,7975.85,10995.95,12633.15,15802.05,18763.40,22057.53,24914.65,27814.15,
Europe,Solar,Electricity capacity (MW),200.10,300.36,384.99,623.77,1335.36,2315.51,3277.67,5050.85,10519.16,17119.74,30857.88,54720.67,73723.01,84170.38,91092.09,99605.11,106171.50,112301.66,121620.36,142435.99,162835.47,185876.87,
Europe,Solar photovoltaic,Electricity capacity (MW),200.10,300.36,384.99,623.77,1335.36,2315.51,3266.67,5039.85,10458.16,16835.74,30119.16,53564.95,71716.29,81859.24,88779.96,97292.98,103859.36,109989.45,119308.13,140114.82,160514.29,183555.69,
Europe,Concentrated solar power,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,61.00,284.00,738.72,1155.72,2006.72,2311.13,2312.13,2312.13,2312.13,2312.20,2312.22,2321.17,2321.17,2321.17,
Europe,Bioenergy,Electricity capacity (MW),8151.53,9067.23,9619.47,11359.08,12924.33,16189.33,18212.37,18509.42,20008.48,23114.64,25283.70,28552.38,30065.80,31404.09,33094.55,34493.17,35520.40,36948.30,39780.97,40920.68,41470.42,41846.43,
Europe,Solid biofuels,Electricity capacity (MW),6834.46,7425.84,7815.43,9283.19,10055.74,12314.15,13790.53,13462.87,14397.35,15727.81,16734.34,18343.13,18529.70,19328.92,20466.05,21351.18,21969.08,22957.17,25097.49,25501.44,25551.43,25706.43,
Europe,Bagasse,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,2.20,1.90,0.80,0.10,0.30,0.00,0.00,0.00,0.00,2.30,2.30,2.30,2.30,2.30,2.30,2.30,
