nace,description,electricity_sector,swiss_sector
A01,"Crop and animal production, hunting and related service activities",FC_OTH_AF_E,"Agriculture, forestry and fishing"
A02,Forestry and logging,FC_OTH_AF_E,"Agriculture, forestry and fishing"
A03,Fishing and aquaculture,FC_OTH_FISH_E,"Agriculture, forestry and fishing"
B05,Mining of coal and lignite,None,Mining and quarrying
B06,Extraction of crude petroleum and natural gas,None,Mining and quarrying
B07,Mining of metal ores,FC_IND_MQ_E,Mining and quarrying
B08,Other mining and quarrying,FC_IND_MQ_E,Mining and quarrying
B09,Mining support service activities,FC_IND_MQ_E,Mining and quarrying
C10,Manufacture of food products,FC_IND_FBT_E,Manufacturing
C11,Manufacture of beverages,FC_IND_FBT_E,Manufacturing
C12,Manufacture of tobacco products,FC_IND_FBT_E,Manufacturing
C13,Manufacture of textiles,FC_IND_TL_E,Manufacturing
C14,Manufacture of wearing apparel,FC_IND_TL_E,Manufacturing
C15,Manufacture of leather and related products,FC_IND_TL_E,Manufacturing
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",FC_IND_WP_E,Manufacturing
C17,Manufacture of paper and paper products,FC_IND_PPP_E,Manufacturing
C18,Printing and reproduction of recorded media,FC_IND_PPP_E,Manufacturing
C19,Manufacture of coke and refined petroleum products,None,Manufacturing
C20,Manufacture of chemicals and chemical products,FC_IND_CPC_E,Manufacturing
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,FC_IND_CPC_E,Manufacturing
C22,Manufacture of rubber and plastic products,FC_IND_NSP_E,Manufacturing
C23,Manufacture of other non-metallic mineral products,FC_IND_NMM_E,Manufacturing
C24,Manufacture of basic metals,Separate,Manufacturing
C241,Manufacture of basic iron and steel and of ferro-alloys,FC_IND_IS_E,Integrated
C242,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",FC_IND_IS_E,Integrated
C243,Manufacture of other products of first processing of steel,FC_IND_IS_E,Integrated
C244,Manufacture of basic precious and other non-ferrous metals,FC_IND_NFM_E,Integrated
C2451,Casting of iron,FC_IND_IS_E,Integrated
C2452,Casting of steel,FC_IND_IS_E,Integrated
C2453,Casting of light metals,FC_IND_NFM_E,Integrated
C2454,Casting of other non-ferrous metals,FC_IND_NFM_E,Integrated
C25,"Manufacture of fabricated metal products, except machinery and equipment",FC_IND_MAC_E,Manufacturing
C26,"Manufacture of computer, electronic and optical products",FC_IND_MAC_E,Manufacturing
