geo,sector,year,consum_band,Swiss_centimes/KWh,,,,,,,,,,,
CH,Business,1981,30000,12.20,,,,,,,,,,,
CH,Business,1981,150000,12.20,,,,,,,,,,,
CH,Business,1981,500000,12.20,,,,,,,,,,,
CH,Business,1982,30000,12.45,,,,,,,,,,,
CH,Business,1982,150000,12.45,,,,,,,,,,,
CH,Business,1982,500000,12.45,,,,,,,,,,,
CH,Business,1983,30000,12.95,,,,,,,,,,,
CH,Business,1983,150000,12.95,,,,,,,,,,,
CH,Business,1983,500000,12.95,,,,,,,,,,,
CH,Business,1984,30000,13.17,,,,,,,,,,,
CH,Business,1984,150000,13.17,,,,,,,,,,,
CH,Business,1984,500000,13.17,,,,,,,,,,,
CH,Business,1985,30000,13.50,,,,,,,,,,,
CH,Business,1985,150000,13.50,,,,,,,,,,,
CH,Business,1985,500000,13.50,,,,,,,,,,,
CH,Business,1986,30000,13.78,,,,,,,,,,,
CH,Business,1986,150000,13.78,,,,,,,,,,,
CH,Business,1986,500000,13.78,,,,,,,,,,,
CH,Business,1987,30000,13.85,,,,,,,,,,,
CH,Business,1987,150000,13.85,,,,,,,,,,,
CH,Business,1987,500000,13.85,,,,,,,,,,,
CH,Business,1988,30000,14.00,,,,,,,,,,,
CH,Business,1988,150000,14.00,,,,,,,,,,,
CH,Business,1988,500000,14.00,,,,,,,,,,,
CH,Business,1989,30000,14.17,,,,,,,,,,,
CH,Business,1989,150000,14.17,,,,,,,,,,,
CH,Business,1989,500000,14.17,,,,,,,,,,,
CH,Business,1990,30000,14.44,,,,,,,,,,,
CH,Business,1990,150000,14.44,,,,,,,,,,,
CH,Business,1990,500000,14.44,,,,,,,,,,,
CH,Business,1991,30000,14.85,,,,,,,,,,,
CH,Business,1991,150000,14.85,,,,,,,,,,,
CH,Business,1991,500000,14.85,,,,,,,,,,,
CH,Business,1992,30000,15.34,,,,,,,,,,,
CH,Business,1992,150000,15.34,,,,,,,,,,,
CH,Business,1992,500000,15.34,,,,,,,,,,,
CH,Business,1993,30000,15.60,,,,,,,,,,,
CH,Business,1993,150000,15.60,,,,,,,,,,,
CH,Business,1993,500000,15.60,,,,,,,,,,,
CH,Business,1994,30000,16.48,,,,,,,,,,,
CH,Business,1994,150000,16.48,,,,,,,,,,,
CH,Business,1994,500000,16.48,,,,,,,,,,,
CH,Business,1995,30000,17.02,,,,,,,,,,,
CH,Business,1995,150000,17.02,,,,,,,,,,,
CH,Business,1995,500000,17.02,,,,,,,,,,,
CH,Business,1996,30000,17.30,,,,,,,,,,,
CH,Business,1996,150000,17.30,,,,,,,,,,,
CH,Business,1996,500000,17.30,,,,,,,,,,,
CH,Business,1997,30000,16.90,,,,,,,,,,,
CH,Business,1997,150000,16.90,,,,,,,,,,,
CH,Business,1997,500000,16.90,,,,,,,,,,,
CH,Business,1998,30000,16.60,,,,,,,,,,,
CH,Business,1998,150000,16.60,,,,,,,,,,,
CH,Business,1998,500000,16.60,,,,,,,,,,,
CH,Business,1999,30000,16.20,,,,,,,,,,,
CH,Business,1999,150000,16.20,,,,,,,,,,,
CH,Business,1999,500000,16.20,,,,,,,,,,,
CH,Business,2000,30000,15.80,,,,,,,,,,,
CH,Business,2000,150000,15.80,,,,,,,,,,,
CH,Business,2000,500000,15.80,,,,,,,,,,,
CH,Business,2001,30000,15.75,,,,,,,,,,,
CH,Business,2001,150000,15.75,,,,,,,,,,,
CH,Business,2001,500000,15.75,,,,,,,,,,,
CH,Business,2002,30000,15.45,,,,,,,,,,,
CH,Business,2002,150000,15.45,,,,,,,,,,,
CH,Business,2002,500000,15.45,,,,,,,,,,,
CH,Business,2003,30000,15.40,,,,,,,,,,,
CH,Business,2003,150000,15.40,,,,,,,,,,,
CH,Business,2003,500000,15.40,,,,,,,,,,,
CH,Business,2004,30000,15.20,,,,,,,,,,,
CH,Business,2004,150000,15.20,,,,,,,,,,,
CH,Business,2004,500000,15.20,,,,,,,,,,,
CH,Business,2005,30000,14.85,,,,,,,,,,,
CH,Business,2005,150000,14.85,,,,,,,,,,,
CH,Business,2005,500000,14.85,,,,,,,,,,,
CH,Business,2006,30000,14.70,,,,,,,,,,,
CH,Business,2006,150000,14.70,,,,,,,,,,,
CH,Business,2006,500000,14.70,,,,,,,,,,,
CH,Business,2007,30000,14.50,,,,,,,,,,,
CH,Business,2007,150000,14.50,,,,,,,,,,,
CH,Business,2007,500000,14.50,,,,,,,,,,,
CH,Business,2008,30000,14.60,,,,,,,,,,,
CH,Business,2008,150000,14.60,,,,,,,,,,,
CH,Business,2008,500000,14.60,,,,,,,,,,,
CH,Business,2009,30000,16.00,,,,,,,,,,,
CH,Business,2009,150000,16.00,,,,,,,,,,,
CH,Business,2009,500000,16.00,,,,,,,,,,,
CH,Business,2010,30000,15.95,,,,,,,,,,,
CH,Business,2010,150000,15.95,,,,,,,,,,,
CH,Business,2010,500000,15.95,,,,,,,,,,,
CH,Business,2011,30000,16.80,,,,,,,,,,,
CH,Business,2011,150000,16.80,,,,,,,,,,,
CH,Business,2011,500000,16.80,,,,,,,,,,,
CH,Business,2012,30000,16.85,,,,,,,,,,,
CH,Business,2012,150000,16.85,,,,,,,,,,,
CH,Business,2012,500000,16.85,,,,,,,,,,,
CH,Business,2013,30000,18.40,,,,,,,,,,,
CH,Business,2013,150000,14.30,,,,,,,,,,,
CH,Business,2013,500000,11.20,,,,,,,,,,,
CH,Business,2014,30000,19.00,,,,,,,,,,,
CH,Business,2014,150000,14.50,,,,,,,,,,,
CH,Business,2014,500000,11.24,,,,,,,,,,,
CH,Business,2015,30000,19.60,,,,,,,,,,,
CH,Business,2015,150000,14.90,,,,,,,,,,,
CH,Business,2015,500000,10.54,,,,,,,,,,,
CH,Business,2016,30000,19.60,,,,,,,,,,,
CH,Business,2016,150000,14.60,,,,,,,,,,,
CH,Business,2016,500000,12,,,,,,,,,,,
CH,Business,2017,30000,19.80,,,,,,,,,,,
CH,Business,2017,150000,14.80,,,,,,,,,,,
CH,Business,2017,500000,11.5,,,,,,,,,,,
CH,Business,2018,30000,19.9,,,,,,,,,,,
CH,Business,2018,150000,15.4,,,,,,,,,,,
CH,Business,2018,500000,11.23,,,,,,,,,,,
CH,Business,2019,30000,19.9,,,,,,,,,,,
CH,Business,2019,150000,15.4,,,,,,,,,,,
CH,Business,2019,500000,11.22,,,,,,,,,,,
CH,Business,2020,30000,19.7,,,,,,,,,,,
CH,Business,2020,150000,15.4,,,,,,,,,,,
CH,Business,2020,500000,11.10,,,,,,,,,,,
